species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
Fis-31576,GND,0.25,1.49950314673733,65.20399026,1.111114304556789,1,2,1.351089220328391
Fis-47368,GND,0.25,1.49950314673733,92.60605612,1.157811147266609,1,3,1.510694300410075
Fis-47368,PST,0.16071428571428573,1.3341067893022136,27.19825203,1.04634736365298,1,2,1.2926296653648723
Fis-47368,LLT,0.1125,1.2249112948453835,69.0195128,1.1176164732916742,1,2,1.2863432068631782
Fis-148497,GND,0.25,1.49950314673733,291.7460775,1.4971727962431018,1,3,1.6109614237563783
Fis-148497,PST,0.16071428571428573,1.3341067893022136,69.03356761,1.1176404245972158,1,2,1.3141068311485171
Fis-148497,LLT,0.1125,1.2249112948453835,68.06367913,1.1159876028709992,1,2,1.2858742551719986
Fis-23046,GND,0.25,1.49950314673733,370.7440872,1.6317961364028184,3,3,2.166276796241728
Fis-23046,PST,0.16071428571428573,1.3341067893022136,102.0366804,1.173882212160348,2,3,1.7508203733661145
Fis-23046,LLT,0.1125,1.2249112948453835,233.9531483,1.3986857938988135,3,3,1.981603807981502
Fis-8339,GND,0.19396551724137936,1.3873970599993148,384.4716783,1.6551898164872525,1,3,1.6201023708640565
Fis-8339,PST,0.20714285714285716,1.4307328277061355,111.3954003,1.1898307422225836,1,2,1.3583710927996047
Fis-8339,LLT,0.145,1.2899145432031585,248.3570944,1.4232320747839449,1,2,1.3842567961582481
Fis-25888,GND,0.17307692307692307,1.345606033582185,632.9025389,2.078549751499956,1,3,1.7019621640672151
