species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_31568,892.3694496489263,13446,GND,2.520716615393385,15038,0.8941348583588243,3
Fis_31570,386.1871486031905,1104,GND,1.65811321101833,1447,0.7629578438147893,3
Fis_31571,180.8164987696582,262,GND,1.3081337246966311,404,0.6485148514851485,2
Fis_31573,310.0240561926912,597,GND,1.5283209550162926,681,0.8766519823788547,3
Fis_31576,65.2039902631659,215,GND,1.1111143045786025,247,0.8704453441295547,3
Fis_31577,504.35995721687505,7085,GND,1.859495730328336,7318,0.9681606996447116,3
Fis_31578,386.1682028945352,2325,GND,1.658080924957062,2782,0.8357296908698778,3
Fis_31582,0.06113499030470848,2,GND,1.0001020297262575,3,0.6666666666666666,2
Fis_31583,8.974107671470847,281,GND,1.015290945976376,303,0.9273927392739274,3
Fis_31585,464.1766636557495,842,GND,1.7910179393166403,1015,0.8295566502463054,3
Fis_31589,32.70208987731894,132,GND,1.0557266510324994,137,0.9635036496350365,3
Fis_31594,12.35833360228662,145,GND,1.021058126699734,198,0.7323232323232324,3
Fis_31600,87.35297376515018,307,GND,1.1488591813409614,468,0.655982905982906,2
Fis_31602,12.909032087365633,334,GND,1.0219965917290958,373,0.8954423592493298,3
Fis_32598,47.324005233537264,875,GND,1.0806443811441615,1093,0.8005489478499542,3
Fis_32599,259.7818381373154,865,GND,1.4427013901907633,1184,0.7305743243243243,3
Fis_32608,10.600566337816415,40,GND,1.0180626524935072,40,1,3
Fis_32609,280.12608122924576,808,GND,1.4773707441256554,870,0.9287356321839081,3
Fis_32610,532.2850157404573,1364,GND,1.907083823590487,1799,0.7581989994441356,3
Fis_32611,488.6547569761278,1160,GND,1.832731935612336,1609,0.7209446861404599,3
Fis_32811,299.6525574923289,538,GND,1.510646512292947,591,0.9103214890016921,3
Fis_32960,11.702717546315398,295,GND,1.0199408678768251,334,0.8832335329341318,3
Fis_32975,510.954941833912,1113,GND,1.8707344800252423,1452,0.7665289256198347,3
Fis_32976,0.06241990067064762,2,GND,1.0001042193880727,3,0.6666666666666666,2
Fis_33107,146.43634591872978,415,GND,1.2495452737948956,649,0.6394453004622496,2
Fis_33775,49.75782703963705,380,GND,1.084791944129368,584,0.6506849315068494,2
Fis_33777,55.29708053716422,332,GND,1.0942315845806283,525,0.6323809523809524,2
Fis_34717,2.554286597223836,63,GND,1.0043506987518411,67,0.9402985074626866,3
Fis_35264,516.3418352993904,1319,GND,1.8799144782842243,1756,0.7511389521640092,3
Fis_35265,452.9351036001972,1011,GND,1.771860793848747,1356,0.745575221238938,3
Fis_35514,845.5969326638985,14062,GND,2.4410098925405253,15642,0.898989898989899,3
Fis_47352,593.5445698794665,1151,GND,2.0114784257755853,1498,0.7683578104138852,3
Fis_47368,92.6060561244667,296,GND,1.157811147297194,345,0.8579710144927536,3
